geo_code,label,elec_rs_15,elec_ns_15,elec_tot15,POP_JOIN,X_cor,Y_cor
S12000011,S92000003S12000011,165.0433571,78.72672503,243.7700821,90574,-4.358311879,55.75319185
E07000064,E92000001E07000064,199.1072993,193.18428,392.2915793,90588,0.54096232,50.95097731
S12000039,S92000003S12000039,153.8969102,188.9134053,342.8103155,90720,-4.516420561,55.98499308
E07000037,E92000001E07000037,133.0109365,490.244618,623.2555545,90892,-1.87240835,53.37280003
E07000089,E92000001E07000089,171.6918869,208.3211286,380.0130155,91033,-0.8959502,51.28431546
W06000020,W92000004W06000020,128.8186659,281.4256668,410.2443327,91075,-3.052191279,51.69816644
W06000021,W92000004W06000021,156.1066809,226.5687641,382.675445,91323,-2.866289563,51.75765025
E06000001,E92000001E06000001,141.1141612,316.2191717,457.3333329,92028,-1.253986724,54.66894991
E07000005,E92000001E07000005,194.5828297,161.0555601,355.6383898,92635,-0.6262295,51.68004409
S12000020,S92000003S12000020,191.522917,397.2433055,588.7662225,93295,-3.265695227,57.47616244
E07000134,E92000001E07000134,172.8064504,383.9010121,556.7074625,93468,-1.40350035,52.75280524
E07000153,E92000001E07000153,167.0098734,254.7457433,421.7556167,93475,-0.763927872,52.42576837
E07000138,E92000001E07000138,141.656204,265.1479766,406.8041806,93541,-0.553295117,53.22441989
E07000095,E92000001E07000095,168.6674673,269.8982817,438.565749,93609,-0.045735489,51.72463205
E07000234,E92000001E07000234,163.204634,160.3659881,323.5706221,93637,-2.014614474,52.36137722
E07000043,E92000001E07000043,176.8577127,300.639708,477.4974207,93667,-3.913854894,51.06936833
W06000004,W92000004W06000004,163.8192175,435.885508,599.7047255,93734,-3.352977909,53.09188861
E07000092,E92000001E07000092,146.8456861,261.5221441,408.3678302,93807,-0.765958363,51.27292449
E07000129,E92000001E07000129,157.3559474,248.9184905,406.2744379,93915,-1.220429662,52.5711532
E07000039,E92000001E07000039,164.4200987,373.7135076,538.1336063,94611,-1.558039908,52.83070484
E07000010,E92000001E07000010,187.5906223,332.9627215,520.5533438,95262,0.062484109,52.56254105
E07000213,E92000001E07000213,172.6242929,200.4354475,373.0597404,95598,-0.466442765,51.42429527
E07000026,E92000001E07000026,185.8885217,342.213898,528.1024197,96422,-3.245416895,54.71154179
E07000203,E92000001E07000203,212.6637017,441.6684516,654.3321533,96731,1.094348782,52.24642699
E07000198,E92000001E07000198,159.2866828,332.269432,491.5561148,97106,-1.979800637,53.07908455
E07000145,E92000001E07000145,184.9497615,221.6444005,406.594162,97277,1.663195034,52.64042435
E07000107,E92000001E07000107,167.1929642,271.8697175,439.0626817,97365,0.254802225,51.43092661
E07000192,E92000001E07000192,134.8776661,176.9122022,311.7898683,97462,-1.978776338,52.71205897
E07000063,E92000001E07000063,184.7378029,172.0182011,356.756004,97502,0.006564818,50.88158247
E07000239,E92000001E07000239,168.0621978,217.4934755,385.5556733,97975,-2.273253371,52.37919665
E07000237,E92000001E07000237,153.9795615,272.3372795,426.316841,98768,-2.209928217,52.19629672
E07000038,E92000001E07000038,160.6809386,272.9899959,433.6709345,99023,-1.446792041,53.22559812
E07000217,E92000001E07000217,187.9454128,408.4447745,596.3901873,99198,-0.559220115,51.31334869
E07000052,E92000001E07000052,222.0440841,283.9756416,506.0197257,99264,-2.577141259,50.78396832
E07000061,E92000001E07000061,170.3294154,215.0719236,385.401339,99412,0.267807954,50.77549879
S12000010,S92000003S12000010,195.281711,275.6661366,470.9478476,99717,-2.71937725,55.94204027
E07000098,E92000001E07000098,187.5635445,272.7283208,460.2918653,100031,-0.27950052,51.6767925
E07000220,E92000001E07000220,183.1293311,488.1072785,671.2366096,100075,-1.326843072,52.38404714
E07000194,E92000001E07000194,166.7380311,263.5196004,430.2576315,100654,-1.803506931,52.68785057
E07000147,E92000001E07000147,249.9467349,293.6421677,543.5889026,101499,1.170646015,52.85035459
E07000109,E92000001E07000109,166.6550662,307.6156178,474.270684,101720,0.396673753,51.40461243
E07000031,E92000001E07000031,237.7777697,347.4938636,585.2716333,103658,-2.848567913,54.29261115
E07000034,E92000001E07000034,161.5789973,263.8788959,425.4578932,103788,-1.399685954,53.25599339
E07000174,E92000001E07000174,165.8967183,247.0845622,412.9812805,104466,-1.17120266,53.17043376
E07000229,E92000001E07000229,189.8054391,212.322384,402.1278231,104640,-0.394459204,50.82775558
E07000181,E92000001E07000181,224.2516394,322.0130452,546.2646846,104779,-1.50540091,51.83720632
S12000045,S92000003S12000045,187.1508373,165.0929294,352.2437667,105026,-4.224259901,55.95610195
E07000132,E92000001E07000132,192.2049172,262.5220828,454.727,105078,-1.389523465,52.61613325
E06000005,E92000001E06000005,172.2675106,261.2016755,433.4691861,105564,-1.551059138,54.5485731
E07000226,E92000001E07000226,165.4284528,417.2478923,582.6763451,106597,-0.180446046,51.12492328
E07000118,E92000001E07000118,195.6091955,194.2703173,389.8795128,107155,-2.646462503,53.66126046
E07000028,E92000001E07000028,207.7421256,392.4482306,600.1903562,107524,-2.806668697,54.97097721
E07000128,E92000001E07000128,204.9935831,325.1669382,530.1605213,107749,-2.85258716,53.90276847
E07000139,E92000001E07000139,202.6407237,344.6936715,547.3343952,107766,-0.444514619,53.08085492
E07000112,E92000001E07000112,197.3596952,428.4615219,625.8212171,107969,0.995878236,51.05327926
E07000196,E92000001E07000196,179.5789762,265.2271467,444.8061229,108131,-2.17524825,52.62522285
E07000168,E92000001E07000168,207.2177744,345.4675548,552.6853292,108793,-0.63380356,54.36634262
E07000126,E92000001E07000126,188.573536,303.5232489,492.0967849,109057,-2.708822956,53.7279113
E07000187,E92000001E07000187,207.8780316,369.3587579,577.2367895,109279,-2.543221628,51.20238117
E07000172,E92000001E07000172,179.3705115,178.2980469,357.6685584,109487,-1.260594893,52.97614014
E07000190,E92000001E07000190,196.1874047,253.9452161,450.1326208,110187,-3.155983722,51.00998872
E07000104,E92000001E07000104,0,0,0,110535,-0.192515224,51.766441
E07000127,E92000001E07000127,206.3538597,328.2549025,534.6087622,110685,-2.881226007,53.60940994
E07000204,E92000001E07000204,201.8329138,377.2135559,579.0464697,111008,0.676160634,52.23305068
E07000176,E92000001E07000176,196.7836213,253.2696193,450.0532406,111129,-1.035977355,52.90052419
E07000087,E92000001E07000087,190.6536738,250.4851467,441.1388205,111581,-1.223503921,50.85202822
